date,ndvi_sg,T2M,PPT,RAD,RH
2010-02-01,0.157943860245735,20.23,0.51,14.28,41.03
2010-02-06,0.152356304515114,21.67,0,18.69,27.12
2010-02-11,0.147210003714884,23.3,1.96,16.97,48.39
2010-02-16,0.142504957845046,22.01,1.03,19.75,28.55
2010-02-21,0.138241166905599,23.17,0.52,20.6,29.75
2010-02-26,0.134405142659397,23.63,0,23.26,24.38
2010-03-03,0.131277585671765,26.2,0,22.82,24.33
2010-03-08,0.1285593771377,26.68,0.12,23.2,25.74
2010-03-13,0.124385880563224,27.38,1.8299999999999998,21.95,23.67
2010-03-18,0.119986640407892,28.87,0,23.72,18.34
2010-03-23,0.117476848412929,30.14,0,25.54,14.83
2010-03-28,0.114911017280641,30.67,0,24.13,17.09
2010-04-02,0.112497898636759,30.05,0,27.18,17.74
2010-04-07,0.112554363690105,32.01,0,25.93,11.29
2010-04-12,0.11427356640331,32.15,0,27.21,14.34
2010-04-17,0.116137952766184,34.19,0,27.43,13.49
2010-04-22,0.117475259286609,32.71,0,28.13,14.3
2010-04-27,0.118306005469823,33.85,7.35,24,17.21
2010-05-02,0.117355777343524,31.46,3.23,21.1,31.87
2010-05-07,0.116646272381615,33.52,4.34,25.91,27.98
2010-05-12,0.11782744798776,35.15,0,27.72,15.9
2010-05-17,0.119646960333184,35.98,0.29000000000000004,23.89,19.06
2010-05-22,0.119922873509609,34.52,0.01,24.97,35.98
2010-05-27,0.119456014793994,36.17,3.33,25.82,25.58
2010-06-01,0.120650655669655,35.85,1.62,22.23,28.04
2010-06-06,0.123264244903647,34.51,0.17,27.21,28.52
2010-06-11,0.128539518446524,34.53,6.53,23.26,37.51
2010-06-16,0.142386731359045,29.04,19.82,19.21,68.12
2010-06-21,0.163681634303956,29.38,44.45,23.34,66.88
2010-06-26,0.188453871853456,29.86,23.04,20.33,66.96
2010-07-01,0.21507139038919,27,35.64,14.23,77.39
2010-07-06,0.242579370808401,26.76,35.64,15.6,82.75
2010-07-11,0.270052204665568,25.7,98.47,11.87,85.98
2010-07-16,0.296401806962586,27.25,10.44,19.27,82.48
2010-07-21,0.320295910036433,26.19,103.62,15.03,86.71
2010-07-26,0.340623027477299,26.19,72.31,15.15,83.62
2010-07-31,0.356821662143906,26.1,5.53,10.75,84.99
2010-08-05,0.368845807662311,25.81,15.93,12.38,87.15
2010-08-10,0.37707551533683,25.94,106.2,15.29,89.28
2010-08-15,0.382172526473118,26.12,30.11,16.24,88.49
2010-08-20,0.384880970113368,25.75,44.97,17.43,89.45
2010-08-25,0.38577312618366,25.78,37.589999999999996,16.82,88.03
2010-08-30,0.384961969420846,26.24,15.84,17.03,90
2010-09-04,0.382537067627884,25.88,84.45,14.61,90
2010-09-09,0.378686234221395,24.74,54.35,19.33,89.56
2010-09-14,0.373597282618002,24.04,129.2,13.44,90.99
2010-09-19,0.367458026234327,24.2,4.13,21.4,80.23
2010-09-24,0.360456278486993,23.2,0.63,22.69,78.46
2010-09-29,0.352779852792621,24.43,0.7899999999999999,18.29,84.34
2010-10-04,0.34462044493356,23.9,2.46,18.51,83.66
2010-10-09,0.336290321873552,22.46,2.36,21.07,81.73
2010-10-14,0.327943504099882,23.53,34.72,12.96,89.39
2010-10-19,0.31947866141962,22.6,14.219999999999999,17.68,76.33
2010-10-24,0.310636604189699,20.08,0,19.67,70.77
2010-10-29,0.301095639074788,19.13,0.48,5.96,87.06
2010-11-03,0.290564789332939,21.24,0.34,17.99,85.92
2010-11-08,0.278874879629027,21.71,0.31,15.73,85.21
2010-11-13,0.266067485375971,22.06,10.879999999999999,12.52,81.08
2010-11-18,0.252469544882891,21.74,3.17,15.91,79.1
2010-11-23,0.238380797171952,18.71,0,17.16,58.88
2010-11-28,0.224038385067939,21.57,0.5900000000000001,14.51,75.79
2010-12-03,0.209845893330427,19.14,0,14.08,65.94
2010-12-08,0.195204436399601,19.06,27.19,6.92,83.79
2010-12-13,0.180375956837519,15.37,0.02,14.57,61.83
2010-12-18,0.168205390583779,14.59,0,17.15,51.68
